image_name,class_name,block_index,hex_color,r,g,b,coords,delta
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,7,#b5b5b5,181,181,181,"(252, 132, 264, 137)",171.47302994931886
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,8,#b2b2b2,178,178,178,"(157, 133, 169, 138)",166.27687752661222
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,9,#bebebe,190,190,190,"(442, 131, 454, 136)",187.06148721743875
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,10,#c1c1c1,193,193,193,"(551, 167, 568, 176)",192.25763964014538
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,11,#c7c7c7,199,199,199,"(536, 130, 549, 136)",202.64994448555865
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,0,#5b5b5b,91,91,91,"(645, 59, 662, 68)",15.588457268119896
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,1,#505050,80,80,80,"(172, 288, 188, 297)",3.4641016151377544
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,2,#4e4e4e,78,78,78,"(265, 62, 281, 71)",6.928203230275509
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,3,#464646,70,70,70,"(171, 63, 186, 71)",20.784609690826528
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,4,#3b3b3b,59,59,59,"(77, 64, 92, 72)",39.83716857408418
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,5,#393939,57,57,57,"(77, 289, 93, 297)",43.30127018922193
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,6,#505050,80,80,80,"(550, 60, 566, 68)",3.4641016151377544
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,8,#545454,84,84,84,"(266, 288, 282, 297)",3.4641016151377544
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,9,#4e4e4e,78,78,78,"(647, 286, 662, 295)",6.928203230275509
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,10,#4b4b4b,75,75,75,"(361, 288, 377, 296)",12.12435565298214
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,11,#474747,71,71,71,"(552, 287, 568, 296)",19.05255888325765
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,12,#4c4c4c,76,76,76,"(457, 287, 472, 296)",10.392304845413264
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,14,#5d5d5d,93,93,93,"(455, 60, 472, 69)",19.05255888325765
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,18,#515151,81,81,81,"(360, 61, 376, 70)",1.7320508075688772
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,0,#b5b5b5,181,181,181,"(266, 170, 281, 178)",171.47302994931886
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,1,#b5b5b5,181,181,181,"(172, 170, 187, 178)",171.47302994931886
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,2,#bfbfbf,191,191,191,"(361, 169, 376, 177)",188.79353802500762
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,3,#b7b7b7,183,183,183,"(646, 167, 661, 175)",174.9371315644566
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,4,#ababab,171,171,171,"(77, 171, 93, 179)",154.1525218736301
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,5,#bebebe,190,190,190,"(346, 132, 359, 137)",187.06148721743875
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,6,#c3c3c3,195,195,195,"(456, 169, 472, 176)",195.72174125528312
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,7,#afafaf,175,175,175,"(632, 131, 644, 135)",161.0807251039056
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,8,#c0c0c0,192,192,192,"(551, 168, 568, 176)",190.5255888325765
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,9,#bebebe,190,190,190,"(441, 132, 454, 136)",187.06148721743875
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,10,#b2b2b2,178,178,178,"(251, 133, 264, 138)",166.27687752661222
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,11,#bcbcbc,188,188,188,"(536, 131, 549, 136)",183.597385602301
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,12,#aaaaaa,170,170,170,"(157, 134, 169, 138)",152.4204710660612
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,0,#515151,81,81,81,"(267, 92, 283, 100)",1.7320508075688772
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,1,#595959,89,89,89,"(647, 89, 664, 98)",12.12435565298214
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,2,#464646,70,70,70,"(79, 93, 95, 102)",20.784609690826528
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,3,#4c4c4c,76,76,76,"(649, 317, 665, 325)",10.392304845413264
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,4,#585858,88,88,88,"(174, 319, 191, 328)",10.392304845413264
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,5,#5b5b5b,91,91,91,"(457, 90, 473, 99)",15.588457268119896
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,6,#535353,83,83,83,"(552, 90, 569, 98)",1.7320508075688772
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,7,#444444,68,68,68,"(80, 319, 96, 328)",24.24871130596428
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,8,#575757,87,87,87,"(268, 319, 285, 327)",8.660254037844387
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,9,#535353,83,83,83,"(362, 91, 378, 99)",1.7320508075688772
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,10,#5a5a5a,90,90,90,"(173, 92, 189, 101)",13.856406460551018
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,11,#515151,81,81,81,"(459, 318, 475, 327)",1.7320508075688772
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,15,#575757,87,87,87,"(554, 317, 570, 326)",8.660254037844387
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,17,#585858,88,88,88,"(364, 318, 380, 327)",10.392304845413264
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,1,#4c4c4c,76,76,76,"(172, 99, 188, 107)",10.392304845413264
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,3,#434343,67,67,67,"(649, 324, 665, 332)",25.98076211353316
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,5,#545454,84,84,84,"(362, 97, 378, 106)",3.4641016151377544
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,6,#565656,86,86,86,"(266, 98, 283, 106)",6.928203230275509
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,7,#494949,73,73,73,"(78, 99, 94, 108)",15.588457268119896
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,8,#5a5a5a,90,90,90,"(268, 325, 284, 333)",13.856406460551018
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,11,#5b5b5b,91,91,91,"(458, 324, 474, 333)",15.588457268119896
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,13,#535353,83,83,83,"(363, 325, 379, 333)",1.7320508075688772
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,15,#4e4e4e,78,78,78,"(80, 325, 96, 334)",6.928203230275509
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,16,#4c4c4c,76,76,76,"(457, 97, 473, 105)",10.392304845413264
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,17,#535353,83,83,83,"(648, 95, 663, 103)",1.7320508075688772
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,19,#575757,87,87,87,"(553, 324, 570, 332)",8.660254037844387
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,23,#5f5f5f,95,95,95,"(173, 325, 190, 334)",22.516660498395403
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,0,#ababab,171,171,171,"(266, 170, 281, 178)",154.1525218736301
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,1,#a4a4a4,164,164,164,"(172, 170, 187, 179)",142.02816622064793
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,2,#acacac,172,172,172,"(361, 170, 376, 177)",155.88457268119896
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,3,#b7b7b7,183,183,183,"(456, 169, 472, 177)",174.9371315644566
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,4,#aeaeae,174,174,174,"(646, 167, 661, 175)",159.34867429633672
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,5,#b0b0b0,176,176,176,"(346, 132, 359, 137)",162.81277591147446
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,6,#949494,148,148,148,"(77, 171, 93, 180)",114.3153532995459
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,7,#b6b6b6,182,182,182,"(551, 168, 568, 176)",173.20508075688772
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,8,#bbbbbb,187,187,187,"(536, 130, 549, 136)",181.86533479473212
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,9,#b1b1b1,177,177,177,"(252, 132, 264, 137)",164.54482671904336
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,10,#a6a6a6,166,166,166,"(157, 133, 169, 138)",145.4922678357857
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,11,#ababab,171,171,171,"(632, 130, 644, 135)",154.1525218736301
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,12,#b8b8b8,184,184,184,"(442, 131, 454, 136)",176.6691823720255
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,0,#b2b2b2,178,178,178,"(266, 169, 281, 177)",166.27687752661222
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,1,#adadad,173,173,173,"(172, 170, 187, 178)",157.61662348876783
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,2,#b6b6b6,182,182,182,"(646, 166, 662, 175)",173.20508075688772
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,3,#bdbdbd,189,189,189,"(456, 168, 472, 175)",185.32943640986986
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,4,#a9a9a9,169,169,169,"(77, 170, 93, 179)",150.68842025849233
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,5,#b5b5b5,181,181,181,"(251, 132, 264, 137)",171.47302994931886
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,6,#b3b3b3,179,179,179,"(361, 169, 376, 176)",168.0089283341811
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,7,#adadad,173,173,173,"(157, 133, 169, 137)",157.61662348876783
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,8,#bbbbbb,187,187,187,"(346, 131, 359, 136)",181.86533479473212
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,9,#bbbbbb,187,187,187,"(442, 131, 454, 135)",181.86533479473212
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,0,#545454,84,84,84,"(172, 292, 188, 301)",3.4641016151377544
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,1,#535353,83,83,83,"(550, 63, 567, 71)",1.7320508075688772
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,2,#5a5a5a,90,90,90,"(361, 291, 377, 300)",13.856406460551018
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,3,#595959,89,89,89,"(266, 292, 283, 300)",12.12435565298214
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,4,#555555,85,85,85,"(646, 290, 663, 299)",5.196152422706632
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,5,#5a5a5a,90,90,90,"(645, 62, 662, 71)",13.856406460551018
