image_name,class_name,block_index,hex_color,r,g,b,coords
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,8,#545454,84,84,84,"(265, 61, 281, 70)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,9,#4a4a4a,74,74,74,"(266, 288, 282, 296)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,10,#505050,80,80,80,"(361, 287, 377, 296)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,12,#4f4f4f,79,79,79,"(455, 60, 471, 69)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,13,#5a5a5a,90,90,90,"(550, 59, 567, 68)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,14,#484848,72,72,72,"(172, 288, 188, 297)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,15,#585858,88,88,88,"(360, 60, 376, 69)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,17,#444444,68,68,68,"(77, 63, 92, 72)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,19,#414141,65,65,65,"(77, 288, 93, 297)"
251015_020538_0000434629_CAM1_OK_bmp.rf.4d468f4360b5c6e82fba4096a92ff200.jpg,qblock,20,#555555,85,85,85,"(551, 286, 568, 295)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,3,#4d4d4d,77,77,77,"(647, 82, 663, 90)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,5,#535353,83,83,83,"(649, 309, 665, 317)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,6,#5c5c5c,92,92,92,"(268, 311, 285, 320)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,7,#545454,84,84,84,"(457, 83, 473, 91)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,9,#585858,88,88,88,"(459, 310, 475, 318)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,10,#5d5d5d,93,93,93,"(267, 84, 283, 92)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,13,#565656,86,86,86,"(363, 311, 380, 319)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,15,#5f5f5f,95,95,95,"(362, 83, 378, 92)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,16,#5b5b5b,91,91,91,"(552, 82, 568, 90)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,18,#4b4b4b,75,75,75,"(554, 310, 570, 318)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,20,#4a4a4a,74,74,74,"(174, 312, 190, 320)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,24,#404040,64,64,64,"(80, 312, 96, 320)"
251010_125639_0000080776_CAM1_NG_bmp.rf.c51f197fe18edded643e24fa6bab64d1.jpg,qblock,25,#454545,69,69,69,"(79, 86, 95, 95)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,0,#b5b5b5,181,181,181,"(646, 167, 662, 175)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,1,#b4b4b4,180,180,180,"(266, 170, 281, 178)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,2,#a1a1a1,161,161,161,"(77, 171, 93, 179)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,3,#c3c3c3,195,195,195,"(456, 168, 472, 176)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,4,#b2b2b2,178,178,178,"(172, 170, 187, 178)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,5,#b5b5b5,181,181,181,"(252, 132, 264, 137)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,6,#bebebe,190,190,190,"(552, 167, 568, 176)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,7,#b3b3b3,179,179,179,"(157, 133, 170, 138)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,8,#bcbcbc,188,188,188,"(361, 169, 376, 177)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,9,#bebebe,190,190,190,"(442, 131, 454, 136)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,10,#b9b9b9,185,185,185,"(346, 132, 358, 136)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,11,#bababa,186,186,186,"(632, 130, 645, 135)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,12,#c4c4c4,196,196,196,"(537, 130, 549, 136)"
251107_232356_0000097812_CAM1_NG_bmp.rf.4961ca57aa6389ac6f5f6a9dd2975c0d.jpg,incorrect qblock,13,#b8b8b8,184,184,184,"(727, 130, 739, 135)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,2,#585858,88,88,88,"(645, 59, 661, 68)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,3,#565656,86,86,86,"(646, 286, 662, 295)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,5,#545454,84,84,84,"(456, 287, 472, 296)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,7,#4e4e4e,78,78,78,"(265, 62, 281, 71)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,8,#565656,86,86,86,"(171, 62, 186, 71)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,10,#4b4b4b,75,75,75,"(361, 288, 377, 296)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,11,#545454,84,84,84,"(266, 288, 282, 297)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,12,#515151,81,81,81,"(360, 61, 376, 70)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,13,#5d5d5d,93,93,93,"(455, 60, 472, 69)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,15,#535353,83,83,83,"(550, 60, 567, 68)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,16,#3b3b3b,59,59,59,"(77, 64, 92, 72)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,18,#505050,80,80,80,"(172, 288, 188, 297)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,20,#4f4f4f,79,79,79,"(551, 287, 568, 295)"
251015_020541_0000434638_CAM1_OK_bmp.rf.7f8c3306b45c3facc30d2bf701a08c17.jpg,qblock,21,#393939,57,57,57,"(77, 289, 93, 297)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,0,#b7b7b7,183,183,183,"(646, 167, 662, 176)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,1,#b5b5b5,181,181,181,"(266, 170, 281, 178)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,2,#b5b5b5,181,181,181,"(172, 170, 187, 179)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,3,#bbbbbb,187,187,187,"(632, 130, 644, 136)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,4,#c2c2c2,194,194,194,"(360, 169, 375, 177)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,5,#adadad,173,173,173,"(77, 171, 93, 180)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,6,#c0c0c0,192,192,192,"(551, 168, 568, 176)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,7,#bdbdbd,189,189,189,"(441, 132, 453, 136)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,8,#c3c3c3,195,195,195,"(456, 169, 472, 176)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,9,#bebebe,190,190,190,"(346, 132, 359, 137)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,10,#b2b2b2,178,178,178,"(251, 133, 263, 137)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,11,#bcbcbc,188,188,188,"(726, 130, 739, 135)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,12,#aaaaaa,170,170,170,"(157, 134, 169, 138)"
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,13,#bcbcbc,188,188,188,"(536, 131, 549, 136)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,0,#595959,89,89,89,"(647, 89, 664, 98)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,1,#616161,97,97,97,"(267, 91, 283, 100)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,4,#4c4c4c,76,76,76,"(649, 317, 665, 325)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,7,#5b5b5b,91,91,91,"(457, 90, 473, 99)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,11,#575757,87,87,87,"(268, 319, 285, 327)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,12,#535353,83,83,83,"(362, 91, 378, 99)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,13,#515151,81,81,81,"(459, 318, 475, 326)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,14,#585858,88,88,88,"(364, 318, 380, 327)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,15,#535353,83,83,83,"(552, 90, 569, 98)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,16,#545454,84,84,84,"(174, 319, 190, 328)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,20,#575757,87,87,87,"(554, 317, 570, 326)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,22,#5a5a5a,90,90,90,"(173, 92, 189, 101)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,23,#444444,68,68,68,"(80, 319, 96, 328)"
251010_124904_0000080549_CAM1_NG_bmp.rf.035679e4447ca6815d8558b1ebf145a6.jpg,qblock,24,#464646,70,70,70,"(79, 93, 95, 102)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,3,#5a5a5a,90,90,90,"(268, 325, 284, 333)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,6,#5b5b5b,91,91,91,"(648, 323, 665, 332)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,7,#535353,83,83,83,"(363, 325, 379, 333)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,8,#4b4b4b,75,75,75,"(458, 325, 474, 333)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,11,#545454,84,84,84,"(362, 97, 377, 105)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,12,#565656,86,86,86,"(266, 98, 283, 106)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,15,#4c4c4c,76,76,76,"(172, 99, 188, 107)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,17,#535353,83,83,83,"(648, 95, 663, 103)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,18,#5d5d5d,93,93,93,"(458, 96, 474, 105)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,19,#545454,84,84,84,"(553, 324, 569, 332)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,20,#4e4e4e,78,78,78,"(80, 325, 96, 334)"
251010_125624_0000080727_CAM1_NG_bmp.rf.623178d0c95d58cc3e7a9c988b8afbe3.jpg,qblock,21,#494949,73,73,73,"(78, 99, 94, 108)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,0,#ababab,171,171,171,"(266, 170, 281, 178)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,1,#adadad,173,173,173,"(646, 167, 662, 176)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,2,#a4a4a4,164,164,164,"(172, 170, 187, 179)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,3,#949494,148,148,148,"(77, 171, 93, 180)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,4,#b6b6b6,182,182,182,"(551, 168, 568, 176)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,5,#b7b7b7,183,183,183,"(456, 169, 472, 177)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,6,#aaaaaa,170,170,170,"(251, 133, 263, 137)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,7,#acacac,172,172,172,"(632, 130, 644, 136)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,8,#b5b5b5,181,181,181,"(361, 169, 376, 177)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,9,#bcbcbc,188,188,188,"(441, 131, 454, 136)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,10,#a6a6a6,166,166,166,"(157, 133, 169, 138)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,11,#aeaeae,174,174,174,"(346, 132, 358, 137)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,12,#b2b2b2,178,178,178,"(536, 131, 549, 136)"
251107_231611_0000096269_CAM1_NG_bmp.rf.3ca46ab996a94939b705d0cef960b9e4.jpg,incorrect qblock,13,#afafaf,175,175,175,"(727, 130, 739, 135)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,0,#b6b6b6,182,182,182,"(646, 166, 662, 175)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,1,#b2b2b2,178,178,178,"(266, 169, 281, 177)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,2,#adadad,173,173,173,"(172, 170, 187, 178)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,3,#bdbdbd,189,189,189,"(456, 168, 472, 175)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,4,#a3a3a3,163,163,163,"(77, 171, 93, 179)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,5,#b5b5b5,181,181,181,"(251, 132, 263, 137)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,6,#bbbbbb,187,187,187,"(551, 167, 568, 175)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,7,#adadad,173,173,173,"(157, 133, 169, 137)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,8,#b3b3b3,179,179,179,"(361, 169, 376, 176)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,9,#bebebe,190,190,190,"(441, 131, 454, 135)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,10,#b8b8b8,184,184,184,"(727, 129, 739, 134)"
251107_232453_0000098001_CAM1_NG_bmp.rf.43c7cc907cf4df798e3ecf7bae7593ea.jpg,incorrect qblock,11,#bbbbbb,187,187,187,"(346, 131, 359, 136)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,0,#5a5a5a,90,90,90,"(645, 62, 662, 71)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,2,#535353,83,83,83,"(550, 63, 567, 71)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,4,#5c5c5c,92,92,92,"(361, 291, 378, 300)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,6,#505050,80,80,80,"(265, 65, 281, 73)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,10,#555555,85,85,85,"(646, 290, 663, 299)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,11,#535353,83,83,83,"(360, 64, 376, 73)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,12,#4a4a4a,74,74,74,"(455, 64, 471, 72)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,13,#595959,89,89,89,"(266, 292, 283, 300)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,16,#5d5d5d,93,93,93,"(551, 290, 568, 299)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,17,#585858,88,88,88,"(456, 291, 473, 299)"
251010_201506_0000147686_CAM1_NG_bmp.rf.1a57511db1c2ac93f5c86461ffef2326.jpg,qblock,18,#545454,84,84,84,"(172, 292, 188, 301)"
